MAPbI3_AVAI,MAPbI3_MACl,MAPbI3,Condition
16.55,43.17,40.28,1
29.94,70.06,0,2
59.69,35.51,4.79,3
15.13,42.04,42.83,4
23.89,53.34,22.77,5
84.83,15.17,0,6
0,0,100,7
