,Unnamed: 0,Filename,Rsh_scaff,Voc (V),Isc (mA),Jsc(mA/cm2),Imax (mA),Vmax (V),Pmax (mW/cm2),FF (%),FF_est (%),PCE (%),Rseries (ohm),Rshunt (ohm),CellArea (cm2),ScanRate (mV/s),ActualScanRate (mV/s),CellNo,CellRow,CellColumn,Condition,meas_time,measurement
0,0,00-Rep_2-2023_10_31-15_41_57-rev-1,7215.482541,0.8792211197063493,1.0175320211121073,11.30591134569008,1.51424,0.627244,0.9497979545600002,106.1658969275489,71.34087045241736,10.553310606222224,122.45220527662474,-1963.9292128423376,0.09,60.0,-54.08402920308207,0,A,1,1,2023-10-31 15:41:57,1
1,1,01-Rep_2-2023_10_31-15_42_52-rev-1,6658.494803,0.87501577661527,1.035807325243158,11.508970280479534,1.51338,0.615122,0.9309133323599998,102.71039247443127,70.29838963354588,10.343481470666664,119.32642695379565,-1818.5893762551505,0.09,60.0,-54.08395067874996,1,A,2,1,2023-10-31 15:42:52,1
2,2,03-Rep_2-2023_10_31-15_44_42-rev-1,2795746.256,0.8821997045772105,1.1505952481211958,12.784391645791066,1.52422,0.615122,0.93758125484,92.36755157870822,69.72593584066024,10.41756949822222,107.8946838360548,-1229.5821243095295,0.09,60.0,-54.08386427575668,3,A,4,1,2023-10-31 15:44:42,1
3,3,04-Rep_2-2023_10_31-15_45_37-rev-1,4474184.164,0.853974584603608,1.172056424179258,13.022849157547313,1.53406,0.615121,0.9436325212600002,94.277798920398,72.03036379420152,10.48480579177778,102.55580642166277,-1579.6801817503506,0.09,60.0,-54.08422711532752,4,A,5,2,2023-10-31 15:45:37,1
4,4,05-Rep_2-2023_10_31-15_46_31-rev-1,121534.6049,0.8663098431708293,1.0490293454784665,11.655881616427406,1.5007899999999998,0.627243,0.94136002197,103.5845215317159,72.40400244145822,10.459555799666663,99.638649339996,-4504.835554415261,0.09,60.0,-54.08402628150667,5,A,6,2,2023-10-31 15:46:31,1
5,5,06-Rep_2-2023_10_31-15_47_26-rev-1,379071.4827,0.868234064412194,1.0660950972522496,11.84550108058055,1.51828,0.62724,0.9523259472000002,102.88518674766524,72.24319175090761,10.581399413333337,104.78294683656888,-2692.0149817359224,0.09,60.0,-54.08429885975049,6,A,7,2,2023-10-31 15:47:26,1
6,6,07-Rep_2-2023_10_31-15_48_21-rev-1,184330.457,0.8696504560690788,1.0936060415808673,12.151178239787416,1.52484,0.627243,0.95644521612,100.56676252582535,72.12587489865888,10.627169068,94.60154597890056,-2286.712582149796,0.09,60.0,-54.08439894204787,7,A,8,2,2023-10-31 15:48:21,1
7,7,08-Rep_2-2023_10_31-15_49_16-rev-1,5838.076993,0.7371117380855885,0.2330142492197204,2.589047213552449,0.199407,0.578776,0.1154119858319999,67.19471355604941,67.19471355604941,1.282355398133333,446.7254662745971,17394.66292482617,0.09,60.0,-54.08440453279949,8,A,9,3,2023-10-31 15:49:16,1
8,8,09-Rep_2-2023_10_31-15_50_12-rev-0,9232.97784,0.7111551229467051,0.168431479172523,1.871460879694701,0.1115049999999999,0.603045,0.067242532725,56.13793811529493,56.13793811529493,0.7471392525000001,392.8983966354356,42656.0953248079,0.09,60.0,-54.0837453892781,9,B,1,3,2023-10-31 15:50:12,1
9,9,10-Rep_2-2023_10_31-15_51_07-rev-1,9822.451494,0.8093864109917794,0.2763379742229284,3.0704219358103155,0.259936,0.639388,0.1661999591679999,74.30780531411429,74.30780531411429,1.8466662129777776,329.4829725688145,49949.02269207017,0.09,60.0,-54.08419486346559,10,B,2,3,2023-10-31 15:51:07,1
10,10,11-Rep_2-2023_10_31-15_52_02-rev-1,9685.659012,0.7722787461227405,0.3055064159061155,3.3945157322901727,0.2830479999999999,0.578777,0.1638216722959999,69.43475970690656,69.43475970690656,1.8202408032888888,383.5502673234664,11158.079973986223,0.09,60.0,-54.08407842014911,11,B,3,3,2023-10-31 15:52:02,1
11,11,12-Rep_2-2023_10_31-15_52_56-rev-1,55406.35987,0.8841529601041759,1.1385695990783,12.650773323092222,1.50454,0.627243,0.94371218322,93.74596262720512,70.94281513530133,10.485690924666669,110.78789705559412,-1285.3530527953642,0.09,60.0,-54.08392986223582,12,B,4,4,2023-10-31 15:52:56,1
12,12,13-Rep_2-2023_10_31-15_53_52-rev-1,43177.02547,0.8830403951696294,1.1148726844452153,12.387474271613502,1.48541,0.627243,0.93171302463,94.64034627526762,71.03219778292345,10.352366940333336,109.41883693280766,-1543.0938865648875,0.09,60.0,-54.08381859270409,13,B,5,4,2023-10-31 15:53:52,1
13,13,14-Rep_2-2023_10_31-15_54_47-rev-1,34145.68537,0.8750425028693001,1.1950189914907876,13.277988794342084,1.52686,0.615122,0.9392051769199998,89.81658168077334,70.29624252341912,10.435613076888888,116.4046277528905,-1334.9839306148583,0.09,60.0,-54.08421856374517,14,B,6,4,2023-10-31 15:54:47,1
14,14,15-Rep_2-2023_10_31-15_55_41-rev-1,22225.18775,0.8787952980883968,1.1495763906458003,12.77307100717556,1.48717,0.627242,0.93281548514,92.3358149137258,71.37521119701151,10.364616501555554,117.14463228960246,-1275.1610255942503,0.09,60.0,-54.08413824818725,15,B,7,4,2023-10-31 15:55:41,1
15,15,16-Rep_2-2023_10_31-15_56_36-rev-1,26849.39041,0.8545234306543372,1.497666169330036,16.64073521477818,1.54932,0.603047,0.93431277804,73.00511567632755,70.57114859193817,10.381253089333336,116.18312196040829,-414.66665049225327,0.09,60.0,-54.08404379980736,16,B,8,5,2023-10-31 15:56:36,1
16,16,18-Rep_2-2023_10_31-15_58_27-rev-1,50831.09055,0.8698628432866146,0.9012468677676926,10.013854086307695,1.46163,0.651474,0.95221394262,121.46187689937844,74.89387608953695,10.580154918,82.96860875979334,-7063.976398054253,0.09,60.0,-54.08415009799821,18,C,1,5,2023-10-31 15:58:27,1
17,17,19-Rep_2-2023_10_31-15_59_22-rev-8,3948564.26,0.808669237338502,0.9943973607098991,11.048859563443324,1.33821,0.590888,0.7907322304800001,98.33283397141092,73.06918239461349,8.785913672000001,106.78446490667096,-3298.7608031402915,0.09,60.0,-54.08379161448301,19,C,2,5,2023-10-31 15:59:22,1
18,18,20-Rep_2-2023_10_31-16_00_17-rev-0,36765.44615,0.6309682413937934,0.042072894538375,0.4674766059819448,0.0250637999999999,0.481776,0.0120751373088,45.48646489878627,45.48646489878627,0.13416819232,1803.1704584707293,61457.34037200553,0.09,60.0,-54.08414792856113,20,C,3,6,2023-10-31 16:00:17,1
19,19,21-Rep_2-2023_10_31-16_01_12-rev-0,33700.08879,0.6403692475083954,0.0523755718401513,0.5819507982239044,0.0326782,0.542392,0.0177243942544,52.84600438748311,52.84600438748311,0.1969377139377777,1251.550032900078,46417.34348832805,0.09,60.0,-54.083821702096536,21,C,4,6,2023-10-31 16:01:12,1
